Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Song ID,Genre,Release Date,Weeks Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1081,68,24,2019-12-27--2020-01-03,Lights Up,"4,325,411",Harry Styles,16127908,4jAIqgrPjKLTY9Gbez25Qb,"['pop', 'post-teen pop']",12/13/2019,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",75.00,0.60,0.60,-8.17,0.03,0.04,0.14,101.99,172213.00,0.27,A#/Bb
1082,14,27,2020-01-10--2020-01-17,Lose You To Love Me,"4,322,088",Selena Gomez,28931149,4l0Mvzj72xxOpRrp6h8nHi,"['dance pop', 'pop', 'post-teen pop']",1/10/2020,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",81.00,0.50,0.30,-8.99,0.04,0.56,0.21,102.82,206459.00,0.10,E
1083,94,18,2019-12-27--2020-01-03,Girls Like You (feat. Cardi B),"4,318,772",Maroon 5,32279979,6V1bu6o1Yo5ZXnsCJU8Ovk,"['pop', 'pop rock']",6/15/2018,"2020-06-26--2020-07-03
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",66.00,0.90,0.50,-6.83,0.05,0.57,0.13,124.96,235545.00,0.45,C
1084,47,8,2020-05-08--2020-05-15,PA' ROMPERLA,"4,312,675","Bad Bunny, Don Omar",36177712,5XqCz18k96K8tx6DAYM97i,"['latin', 'reggaeton', 'trap latino']",5/10/2020,"2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",72.00,0.80,0.80,-5.02,0.06,0.02,0.08,94.01,194200.00,0.70,G
1085,83,1,2020-06-19--2020-06-26,VACATION,"6,883,487",Tyga,6298789,6q2uIyLqASSpv2SIv2ehWK,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6/19/2020,2020-06-19--2020-06-26,51.00,0.80,0.60,-6.22,0.10,0.02,0.19,110.97,192936.00,0.47,C#/Db
1086,86,1,2020-06-19--2020-06-26,Big Body Benz,"6,707,101",Bonez MC,1683006,2WOJ7D52Ng3myrKlEf4Azj,"['german hip hop', 'hamburg hip hop']",6/18/2020,2020-06-19--2020-06-26,61.00,0.90,0.50,-8.97,0.39,0.07,0.27,94.02,148284.00,0.31,A
1087,104,1,2020-06-19--2020-06-26,Ich weiß nicht mal wie sie heißt,"5,827,600","Capital Bra, Bozza",4093115,4KfL3Ne8bc9bC2PUB8QGwA,['german hip hop'],6/18/2020,2020-06-19--2020-06-26,57.00,0.50,0.80,-3.91,0.18,0.53,0.10,199.85,168750.00,0.61,A#/Bb
1088,101,4,2020-05-29--2020-06-05,Fútbol & Rumba (feat. Enrique Iglesias),"5,124,116",Anuel AA,18306226,2hDe0Ls5mVqs1XJqv7sbcM,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",5/29/2020,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05",67.00,0.70,0.90,-2.08,0.12,0.40,0.09,167.99,221429.00,0.69,D
1089,131,1,2020-06-19--2020-06-26,Bleed,"5,095,478",A Boogie Wit da Hoodie,5865895,5XzombolzpiaOSTdj1W0VS,"['melodic rap', 'pop rap', 'rap', 'trap']",6/19/2020,2020-06-19--2020-06-26,61.00,0.70,0.60,-7.74,0.20,0.14,0.15,71.45,176959.00,0.39,D
1090,134,1,2020-06-19--2020-06-26,Snow On Tha Bluff,"5,060,764",J. Cole,14103694,1oOEkBNp4zWnkD7nWjJdog,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",6/16/2020,2020-06-19--2020-06-26,66.00,0.60,0.50,-8.82,0.07,0.72,0.12,75.86,235480.00,0.24,G#/Ab
1091,113,2,2020-06-12--2020-06-19,Djomb - Bien ou quoi,"4,924,714",Bosh,300500,0KBwGCY9RYD9t2zjeW4h48,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']",5/29/2020,"2020-06-19--2020-06-26
2020-06-12--2020-06-19",64.00,1.00,0.70,-6.60,0.21,0.17,0.32,123.11,141893.00,0.63,C#/Db
1092,84,15,2020-04-03--2020-04-10,In Your Eyes (feat. Alida),"4,654,587","Alida, Robin Schulz",2786366,61ZM92T2zaXIVsqncThQzC,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",1/10/2020,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20",71.00,0.60,0.70,-5.89,0.07,0.17,0.08,120.02,208222.00,0.46,G#/Ab
1093,13,14,2020-02-28--2020-03-06,Stupid Love,"4,609,858",Lady Gaga,1251372,1zPwSOUc5MPtPg8EgXAGKU,[],8/8/2021,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06",0.00,0.70,0.80,-4.30,0.07,0.00,0.27,117.99,193533.00,0.78,G#/Ab
1094,93,2,2020-06-12--2020-06-19,Shotta Flow 5,"4,513,982",NLE Choppa,3372385,1orjH4IkSH9VrWmRCToKV8,['memphis hip hop'],6/12/2020,"2020-06-19--2020-06-26
2020-06-12--2020-06-19",62.00,0.80,0.80,-5.27,0.33,0.08,0.06,140.03,145167.00,0.77,C#/Db
1095,145,5,2020-06-05--2020-06-12,IDK You Yet,"4,473,413",Alexander 23,207170,0j1Ia2lQWrcXrQZI4AdJlk,"['alt z', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",6/23/2020,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29",79.00,0.70,0.30,-11.73,0.04,0.89,0.12,77.00,184638.00,0.20,C#/Db
1096,75,25,2019-12-27--2020-01-03,Piece Of Your Heart,"4,422,905","MEDUZA, Goodboys",441714,1DFD5Fotzgn6yYXkYsKiGs,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",2/1/2019,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",79.00,0.70,0.70,-6.81,0.03,0.04,0.07,124.08,152913.00,0.63,A#/Bb
1097,129,4,2020-06-05--2020-06-12,Na Raba Toma Tapão,"4,396,629",Niack,352402,0AGS6ZRgzobrazmCi6pYMe,['funk carioca'],6/6/2020,"2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05",61.00,1.00,0.80,1.51,0.06,0.67,0.18,130.00,165231.00,0.97,D#/Eb
